NationalitÃ©;Club;championnat ;Nom;Position;Note;VIT;TIR;PAS;DRI;DEF;PHY
Portugal;Paris SG;Ligue 1;#220 Nuno Mendes;220;83;89;58;76;82;78;76
France;Inter milan;Serie A;#220 Marcus Thuram;220;83;87;81;77;82;50;84
Angleterre;AC milan;Serie A;#220 Fikayo Tomori;220;83;84;40;60;68;85;80
Angleterre;Newcastle Utd;Premier League;#220 Kieran Trippier;220;83;67;65;85;78;81;72
Belgique;Arsenal;Premier League;#220 Leandro Trossard;220;83;82;81;80;85;30;61
Ukraine;Girona FC;La Liga;#220 Viktor Tsygankov;220;83;85;80;81;82;46;62
Italie;Lazio;Serie A;#220 Mattia Zaccagni;220;83;87;77;75;88;57;66
Colombie;Torino;Serie A;#220 DuvÃ¡n Zapata;220;83;73;82;64;78;35;88
Espagne;Real Betis;La Liga;#320 Isco;320;82;66;74;82;83;59;59
BrÃ©sil;Newcastle Utd;Premier League;#320 Joelinton;320;82;76;72;76;82;81;89
JamaÃ¯que;Aston Villa;Premier League;#320 Leon Bailey;320;82;90;78;77;86;38;62
Allemagne;TSG Hoffenheim;Bundesliga;#320 Oliver Baumann;320;82;81;80;78;83;39;79
Nigeria;Leverkusen;Bundesliga;#320 Victor Boniface;320;82;73;83;66;80;38;82
Pays-Bas;Newcastle Utd;Premier League;#320 Sven Botman;320;82;60;37;63;65;83;83
Angleterre;West Ham;Premier League;#320 Jarrod Bowen;320;82;77;81;76;81;46;70
Ã‰quateur;Chelsea;Premier League;#320 MoisÃ©s Caicedo;320;82;75;63;75;78;79;78
Allemagne;Borussia Dortmund;Bundesliga;#320 Emre Can;320;82;77;78;74;76;82;86
Italie;Atalanta Bergame;Serie A;#320 Marco Carnesecchi;320;82;84;79;71;85;30;83
BrÃ©sil;West Ham;Premier League;#320 Lucas PaquetÃ¡;320;82;72;77;79;85;69;79
Argentine;AtlÃ©tico Madrid;La Liga;#320 Ãngel Correa;320;82;85;84;77;86;50;75
Espagne;Chelsea;Premier League;#320 Marc Cucurella;320;82;75;60;80;80;78;76
BrÃ©sil;Juventus;Serie A;#320 Danilo;320;82;76;67;74;74;84;77
Portugal;Man Utd;Premier League;#320 Diogo Dalot;320;82;85;63;77;80;79;79
Espagne;RCD Majorque;La Liga;#320 Sergi Darder;320;82;79;78;82;83;74;77
Canada;FC Bayern MÃ¼nchen;Bundesliga;#320 Alphonso Davies;320;82;95;66;77;84;72;76
Italie;SSC Napoli;Serie A;#320 Giovanni Di Lorenzo;320;82;83;67;73;76;79;80
Maroc;Real Madrid;La Liga;#320 Brahim;320;82;85;74;78;85;31;56
Pays-Bas;Inter milan;Serie A;#320 Denzel Dumfries;320;82;83;66;73;74;78;88
Argentine;Chelsea;Premier League;#320 Enzo FernÃ¡ndez;320;82;69;73;82;80;73;77
BrÃ©sil;Arsenal;Premier League;#320 Gabriel Jesus;320;82;83;80;75;88;39;77
Italie;Arsenal;Premier League;#320 Jorginho;320;82;46;67;83;80;73;71
Espagne;Aston Villa;Premier League;#320 Pau Torres;320;82;70;41;77;70;83;79
Allemagne;West Ham;Premier League;#320 Niclas FÃ¼llkrug;320;82;63;84;71;75;43;81
Espagne;Valencia CF;La Liga;#320 GayÃ ;320;82;81;61;77;79;78;74
Argentine;Girona FC;La Liga;#320 Paulo Gazzaniga;320;82;82;80;83;81;57;82
Allemagne;SC Freiburg;Bundesliga;#320 Matthias Ginter;320;82;54;59;71;66;85;75
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#320 Serge Gnabry;320;82;80;83;78;84;43;66
Angleterre;Newcastle Utd;Premier League;#320 Anthony Gordon;320;82;91;78;76;81;49;71
Portugal;FC Bayern MÃ¼nchen;Bundesliga;#320 RaphaÃ«l Guerreiro;320;82;63;78;85;88;76;56
Hongrie;RB Leipzig;Bundesliga;#320 PÃ©ter GulÃ¡csi;320;82;82;82;75;81;43;83
Venezuela;Girona FC;La Liga;#320 Yangel Herrera;320;82;64;77;76;78;80;81
Allemagne;Leverkusen;Bundesliga;#320 Jonas Hofmann;320;82;73;79;81;81;64;72
Angleterre;Chelsea;Premier League;#320 Reece James;320;82;78;72;83;82;82;82
France;Aston Villa;Premier League;#320 Boubacar Kamara;320;82;66;54;74;75;83;80
France;Paris SG;Ligue 1;#320 Randal Kolo Muani;320;82;90;80;71;81;38;67
Ghana;West Ham;Premier League;#320 Mohammed Kudus;320;82;90;77;73;86;60;75
SuÃ¨de;Spurs;Premier League;#320 Dejan Kulusevski;320;82;75;77;80;83;57;80
France;OL;Ligue 1;#320 Alexandre Lacazette;320;82;70;84;76;83;44;75
Allemagne;Fulham;Premier League;#320 Bernd Leno;320;82;83;79;76;84;53;82
Slovaquie;SSC Napoli;Serie A;#320 Stanislav Lobotka;320;82;72;69;80;81;75;75
Nigeria;Atalanta Bergame;Serie A;#320 Ademola Lookman;320;82;84;81;71;86;31;66
Belgique;SSC Napoli;Serie A;#320 Romelu Lukaku;320;82;79;82;73;74;38;82
Italie;AS Roma;Serie A;#320 Gianluca Mancini;320;82;71;45;56;64;83;85
Ã‰cosse;Aston Villa;Premier League;#320 John McGinn;320;82;68;77;80;82;78;85
Argentine;AtlÃ©tico Madrid;La Liga;#320 Nahuel Molina;320;82;85;67;75;78;78;71
BrÃ©sil;Manchester City;Premier League;#320 Savinho;320;82;88;72;77;84;30;53
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#320 Thomas MÃ¼ller;320;82;57;82;83;79;55;68
Uruguay;Liverpool;Premier League;#320 Darwin NÃºÃ±ez;320;82;90;80;72;78;46;86
France;FC Bayern MÃ¼nchen;Bundesliga;#320 Michael Olise;320;82;80;77;82;84;53;56
Espagne;Real Sociedad;La Liga;#320 Oyarzabal;320;82;77;83;81;82;42;63
Ghana;Arsenal;Premier League;#320 Thomas Partey;320;82;62;71;80;77;79;82
Pays-Bas;AC milan;Serie A;#320 Tijjani Reijnders;320;82;80;76;80;84;73;74
Espagne;Paris SG;Ligue 1;#320 FabiÃ¡n Ruiz;320;82;54;76;80;80;75;72
France;RC Lens;Ligue 1;#320 Brice Samba;320;82;79;83;80;84;53;81
Espagne;Athletic Club;La Liga;#320 Sancet;320;82;73;77;80;84;70;82
Angleterre;Chelsea;Premier League;#320 Jadon Sancho;320;82;79;69;78;89;32;50
Suisse;Newcastle Utd;Premier League;#320 Fabian SchÃ¤r;320;82;51;68;77;74;84;79
RÃ©publique tchÃ¨que;Leverkusen;Bundesliga;#320 Patrik Schick;320;82;74;81;71;81;37;76
Angleterre;Man Utd;Premier League;#320 Luke Shaw;320;82;75;57;82;78;81;78
NorvÃ¨ge;AtlÃ©tico Madrid;La Liga;#320 Alexander SÃ¸rloth;320;82;79;82;70;76;36;85
Allemagne;Borussia Dortmund;Bundesliga;#320 Niklas SÃ¼le;320;82;70;51;67;64;83;79
Allemagne;Francfort;Bundesliga;#320 Kevin Trapp;320;82;82;80;76;84;46;79
Italie;Spurs;Premier League;#320 Destiny Udogie;320;82;88;65;74;80;78;80
France;FC Bayern MÃ¼nchen;Bundesliga;#320 Dayot Upamecano;320;82;81;45;63;73;81;85
Pays-Bas;Spurs;Premier League;#320 Micky van de Ven;320;82;88;47;64;71;83;81
France;CÃ´me;Serie A;#320 RaphaÃ«l Varane;320;82;73;49;64;69;83;77
Ghana;Athletic Club;La Liga;#320 IÃ±aki Williams;320;82;94;81;72;80;45;84
Mexique;West Ham;Premier League;#456 Edson Ãlvarez;456;81;66;58;69;72;83;87
Espagne;Athletic Club;La Liga;#456 Yeray;456;81;64;49;70;65;83;76
Allemagne;Borussia Dortmund;Bundesliga;#456 Waldemar Anton;456;81;69;46;65;67;81;83
France;West Ham;Premier League;#456 Alphonse Areola;456;81;82;77;74;83;55;80
Espagne;Paris SG;Ligue 1;#456 Marco Asensio;456;81;76;79;81;83;43;63
Espagne;FC Barcelona;La Liga;#456 Balde;456;81;91;48;73;78;75;64
Uruguay;Spurs;Premier League;#456 Rodrigo Bentancur;456;81;67;68;80;82;79;76
Espagne;Athletic Club;La Liga;#456 Ãlex Berenguer;456;81;85;75;75;83;64;68
Italie;AS Roma;Serie A;#456 Bryan Cristante;456;81;55;74;78;75;78;84
Portugal;Real Betis;La Liga;#456 Rui Silva;456;81;82;76;77;84;31;81
Italie;Inter milan;Serie A;#456 Matteo Darmian;456;81;72;62;75;76;80;75
Canada;LOSC Lille;Ligue 1;#456 Jonathan David;456;81;82;81;71;78;34;75
BrÃ©sil;Spurs;Premier League;#456 Richarlison;456;81;77;80;73;80;53;78
Angleterre;Crystal Palace;Premier League;#456 Eberechi Eze;456;81;78;81;78;84;49;69
France;AC milan;Serie A;#456 Youssouf Fofana;456;81;69;68;74;77;78;80
Italie;Inter milan;Serie A;#456 Davide Frattesi;456;81;80;74;78;81;71;71
Suisse;Bologne;Serie A;#456 Remo Freuler;456;81;60;72;76;77;77;74
Angleterre;AtlÃ©tico Madrid;La Liga;#456 Conor Gallagher;456;81;73;75;78;78;77;81
Russie;AS Monaco;Ligue 1;#456 Alexandr Golovin;456;81;77;77;80;83;61;68
Allemagne;Borussia Dortmund;Bundesliga;#456 Pascal GroÃŸ;456;81;50;77;85;80;73;74
Angleterre;Crystal Palace;Premier League;#456 Marc GuÃ©hi;456;81;72;39;65;72;82;77
Allemagne;RB Leipzig;Bundesliga;#456 Benjamin Henrichs;456;81;74;54;76;78;79;74
Ã‰quateur;Leverkusen;Bundesliga;#456 Piero HincapiÃ©;456;81;78;40;64;72;81;80
Turquie;Brighton;Premier League;#456 Ferdi KadÄ±oÄŸlu;456;81;88;65;75;85;75;76
Japon;Crystal Palace;Premier League;#456 Daichi Kamada;456;81;79;73;80;83;54;63
France;Paris SG;Ligue 1;#456 Presnel Kimpembe;456;81;74;43;67;69;81;82
Angleterre;Aston Villa;Premier League;#456 Ezri Konsa;456;81;76;48;71;76;83;78
CÃ´te d'Ivoire;Atalanta Bergame;Serie A;#456 Odilon Kossounou;456;81;80;32;64;67;82;80
Croatie;TSG Hoffenheim;Bundesliga;#456 Andrej KramariÄ‡;456;81;71;83;79;84;33;73
Japon;Real Sociedad;La Liga;#456 Takefusa Kubo;456;81;84;76;76;83;40;60
Angleterre;AC milan;Serie A;#456 Ruben Loftus-Cheek;456;81;81;76;79;82;77;83
Ukraine;Real Madrid;La Liga;#456 Andriy Lunin;456;81;80;78;77;82;37;80
Espagne;FC Barcelona;La Liga;#456 IÃ±igo MartÃ­nez;456;81;71;56;67;61;81;80
Maroc;Man Utd;Premier League;#456 Noussair Mazraoui;456;81;78;66;77;83;77;71
Espagne;Real Sociedad;La Liga;#456 Brais MÃ©ndez;456;81;71;80;82;81;65;73
Italie;SSC Napoli;Serie A;#456 Alex Meret;456;81;80;78;72;84;44;83
Pologne;Juventus;Serie A;#456 Arkadiusz Milik;456;81;56;82;72;77;40;72
Japon;Brighton;Premier League;#456 Kaoru Mitoma;456;81;84;73;75;85;57;65
Italie;Bologne;Serie A;#456 Riccardo Orsolini;456;81;79;80;78;83;49;67
Allemagne;Manchester City;Premier League;#456 Stefan Ortega;456;81;79;77;86;84;52;81
Espagne;Rayo Vallecano;La Liga;#456 Isi PalazÃ³n;456;81;84;78;79;81;39;64
Angleterre;Southampton;Premier League;#456 Aaron Ramsdale;456;81;81;79;85;83;48;78
Angleterre;Man Utd;Premier League;#456 Marcus Rashford;456;81;89;83;76;82;33;64
Allemagne;RB Leipzig;Bundesliga;#456 David Raum;456;81;85;61;81;78;73;78
Autriche;RB Leipzig;Bundesliga;#456 Xaver Schlager;456;81;72;70;74;78;75;79
Tunisie;Francfort;Bundesliga;#456 Ellyes Skhiri;456;81;60;73;74;75;80;76
Slovaquie;Paris SG;Ligue 1;#456 Milan Å kriniar;456;81;57;45;60;65;83;80
Angleterre;Spurs;Premier League;#456 Dominic Solanke;456;81;75;81;66;78;29;83
Espagne;Getafe CF;La Liga;#456 David Soria;456;81;81;79;73;82;43;80
Angleterre;Arsenal;Premier League;#456 Raheem Sterling;456;81;85;78;75;85;42;65
Hongrie;Liverpool;Premier League;#456 Dominik Szoboszlai;456;81;82;80;84;80;59;70
Belgique;Aston Villa;Premier League;#456 Youri Tielemans;456;81;44;79;83;79;69;70
Uruguay;Man Utd;Premier League;#456 Manuel Ugarte;456;81;69;65;73;77;78;80
Allemagne;VfB Stuttgart;Bundesliga;#456 Deniz Undav;456;81;67;82;75;80;33;78
Espagne;UD Las Palmas;La Liga;#456 Ãlvaro Valles;456;81;80;79;79;83;41;81
Espagne;Real Madrid;La Liga;#456 Lucas VÃ¡zquez;456;81;81;74;80;81;74;69
Espagne;Athletic Club;La Liga;#456 Vivian;456;81;79;48;57;69;82;81
Angleterre;Newcastle Utd;Premier League;#456 Callum Wilson;456;81;78;82;67;79;42;75
