Nationalité,Club,Nom,Position,Poste,Note,VIT,TIR,PAS,DRI,DEF,PHY
Géorgie,SSC Napoli,#100 Khvicha Kvaratskhelia,AG,100,85,86,79,80,86,41,71
Autriche,Real Madrid,#101 David Alaba,DC,101,85,79,71,83,80,85,77
Uruguay,FC Barcelona,#101 Ronald Araujo,DC,101,85,82,53,64,62,85,84
Allemagne,Borussia Dortmund,#101 Julian Brandt,MOC,101,85,71,79,85,86,50,70
Brésil,Real Madrid,#101 Éder Militão,DC,101,85,85,50,69,71,85,82
Brésil,Newcastle Utd,#101 Bruno Guimarães,MDC,101,85,68,75,83,84,79,83
Suède,Newcastle Utd,#101 Alexander Isak,BU,101,85,85,84,73,86,39,74
France,FC Barcelona,#101 Jules Koundé,DD,101,85,84,45,70,75,86,80
Portugal,Paris SG,#101 Vitinha,MC,101,85,72,77,84,87,73,68
Angleterre,Spurs,#101 James Maddison,MOC,101,85,71,81,86,86,54,63
Géorgie,Valencia CF,#101 Giorgi Mamardashvili,G,101,85,86,83,72,85,48,85
Espagne,Arsenal,#101 Mikel Merino,MC,101,85,72,79,82,82,83,82
Belgique,RB Leipzig,#101 Loïs Openda,BU,101,85,93,84,69,81,31,79
Portugal,FC Bayern München,#101 Palhinha,MDC,101,85,52,68,72,74,85,90
Angleterre,Chelsea,#101 Cole Palmer,MD,101,85,75,82,83,86,50,66
Écosse,Liverpool,#101 Andrew Robertson,DG,101,85,78,61,82,79,81,78
Allemagne,FC Bayern München,#101 Leroy Sané,MD,101,85,90,83,80,86,37,70
Allemagne,Borussia Dortmund,#101 Nico Schlotterbeck,DC,101,85,77,59,70,73,85,82
Angleterre,Manchester City,#101 John Stones,DC,101,85,69,58,75,79,85,77
France,Real Madrid,#101 Aurélien Tchouaméni,MDC,101,85,73,69,79,78,82,82
Portugal,Liverpool,#101 Diogo Jota,BU,101,85,82,82,75,84,57,79
Italie,Newcastle Utd,#101 Sandro Tonali,MDC,101,85,84,74,81,81,82,82
Angleterre,Aston Villa,#101 Ollie Watkins,BU,101,85,85,83,73,80,50,83
Espagne,Athletic Club,#101 Nico Williams,MG,101,85,93,75,78,86,36,65
Italie,Lombardia FC,#148 Francesco Acerbi,DC,148,84,60,50,64,65,86,80
Suisse,Manchester City,#148 Manuel Akanji,DC,148,84,78,48,71,75,85,82
Pays-Bas,Manchester City,#148 Nathan Aké,DC,148,84,76,53,72,75,84,77
Argentine,Atlético Madrid,#148 Julián Álvarez,BU,148,84,85,84,80,85,57,78
Espagne,Celta Vigo,#148 Iago Aspas,BU,148,84,81,86,79,86,35,65
Italie,Liverpool,#148 Federico Chiesa,AD,148,84,93,83,76,86,52,75
France,FC Bayern München,#148 Kingsley Coman,MG,148,84,89,75,79,87,30,62
Pays-Bas,Man Utd,#148 Matthijs de Ligt,DC,148,84,62,61,63,67,85,83
Argentine,Atlético Madrid,#148 Rodrigo De Paul,MC,148,84,76,77,83,82,76,82
Brésil,FC Barcelona,#148 Raphinha,AD,148,84,91,79,78,86,53,73
Colombie,Liverpool,#148 Luis Díaz,AG,148,84,90,80,75,87,39,75
Italie,Lombardia FC,#148 Federico Dimarco,DG,148,84,80,77,84,83,78,81
Ukraine,AS Roma,#148 Artem Dovbyk,BU,148,84,84,85,69,79,34,81
Pays-Bas,Leverkusen,#148 Jeremie Frimpong,MD,148,84,93,62,75,86,75,69
Espagne,Leverkusen,#148 Aleix García,MC,148,84,67,77,85,84,76,68
Angleterre,Manchester City,#148 Jack Grealish,AG,148,84,76,76,82,88,53,73
Guinée,Borussia Dortmund,#148 Serhou Guirassy,BU,148,84,69,86,71,80,39,79
Maroc,Paris SG,#148 Achraf Hakimi,DD,148,84,91,76,80,80,75,78
Finlande,Leverkusen,#148 Lukáš Hrádecký,G,148,84,85,80,69,87,40,82
Argentine,Man Utd,#148 Lisandro Martínez,DC,148,84,71,59,78,79,85,81
France,Real Madrid,#148 Ferland Mendy,DG,148,84,89,64,76,76,81,85
France,Chelsea,#148 Christopher Nkunku,MOC,148,84,81,81,81,86,60,67
Espagne,FC Barcelona,#148 Dani Olmo,MOC,148,84,73,77,82,87,50,57
Argentine,Leverkusen,#148 Exequiel Palacios,MC,148,84,69,76,79,82,82,73
France,Lombardia FC,#148 Benjamin Pavard,DC,148,84,75,67,75,75,86,81
Espagne,Real Sociedad,#148 Álex Remiro,G,148,84,84,79,80,86,42,86
Argentine,Spurs,#148 Cristian Romero,DC,148,84,68,46,59,66,85,81
Autriche,Borussia Dortmund,#148 Marcel Sabitzer,MC,148,84,76,84,81,82,75,79
Brésil,Man Utd,#148 Casemiro,MDC,148,84,38,74,77,69,82,82
Italie,Spurs,#148 Guglielmo Vicario,G,148,84,84,80,79,87,52,84
Serbie,Juventus,#148 Dušan Vlahović,BU,148,84,78,84,69,79,29,83
Angleterre,Manchester City,#148 Kyle Walker,DD,148,84,89,64,77,78,79,81
Angleterre,Arsenal,#148 Benjamin White,DD,148,84,73,35,77,78,83,80
Allemagne,Leverkusen,#220 Robert Andrich,MDC,220,83,54,77,76,73,83,83
Algérie,Milano FC,#220 Ismaël Bennacer,MDC,220,83,77,73,82,85,78,75
France,Real Madrid,#220 Eduardo Camavinga,MC,220,83,80,67,81,84,78,80
Danemark,FC Barcelona,#220 Andreas Christensen,DC,220,83,67,32,68,71,85,76
Pays-Bas,Lombardia FC,#220 Stefan de Vrij,DC,220,83,62,41,65,69,85,75
Pays-Bas,Liverpool,#220 Cody Gakpo,BU,220,83,82,83,78,83,48,75
Uruguay,Atlético Madrid,#220 José María Giménez,DC,220,83,71,46,58,61,85,82
Allemagne,FC Bayern München,#220 Leon Goretzka,MC,220,83,70,80,80,81,80,85
Croatie,Manchester City,#220 Joško Gvardiol,DG,220,83,79,69,74,78,83,83
Allemagne,Arsenal,#220 Kai Havertz,BU,220,83,77,81,80,82,49,72
France,Paris SG,#220 Lucas Hernández,DC,220,83,74,54,72,71,84,78
Corée du Sud,FC Bayern München,#220 Kim Min Jae,DC,220,83,76,33,57,63,85,83
France,Liverpool,#220 Ibrahima Konaté,DC,220,83,75,34,59,68,83,84
Pays-Bas,Juventus,#220 Teun Koopmeiners,MC,220,83,66,78,83,78,75,78
Croatie,Manchester City,#220 Mateo Kovačić,MC,220,83,69,67,82,87,71,70
Autriche,FC Bayern München,#220 Konrad Laimer,MDC,220,83,80,69,77,77,82,78
Espagne,Atlético Madrid,#220 Robin Le Normand,DC,220,83,62,26,54,60,84,79
Espagne,Atlético Madrid,#220 Marcos Llorente,MD,220,83,89,79,78,80,79,81
Italie,Juventus,#220 Manuel Locatelli,MDC,220,83,64,70,80,78,79,80
Pays-Bas,Borussia Dortmund,#220 Donyell Malen,MD,220,83,89,81,74,85,35,72
Brésil,Arsenal,#220 Gabriel Martinelli,AG,220,83,89,78,75,85,46,72
Arménie,Lombardia FC,#220 Henrikh Mkhitaryan,MC,220,83,78,79,82,84,72,77
Espagne,Milano FC,#220 Morata,BU,220,83,82,81,73,80,31,79
Espagne,Villarreal CF,#220 Gerard Moreno,BU,220,83,77,85,77,81,46,72
Cameroun,Man Utd,#220 André Onana,G,220,83,83,75,87,86,61,79
Hongrie,RB Leipzig,#220 Willi Orban,DC,220,83,58,36,56,56,85,78
Espagne,FC Barcelona,#220 Gavi,MC,220,83,76,66,78,85,68,70
Espagne,Villarreal CF,#220 Parejo,MC,220,83,52,80,88,78,74,69
Italie,AS Roma,#220 Lorenzo Pellegrini,MOC,220,83,79,78,83,83,74,78
Angleterre,Everton,#220 Jordan Pickford,G,220,83,83,78,88,87,53,80
Angleterre,Newcastle Utd,#220 Nick Pope,G,220,83,82,82,75,85,49,82
Espagne,Spurs,#220 Pedro Porro,DD,220,83,82,73,80,81,78,77
Italie,Latium,#220 Ivan Provedel,G,220,83,84,79,80,85,42,84
États-Unis,Milano FC,#220 Christian Pulisic,AD,220,83,88,82,78,86,37,63
Espagne,Arsenal,#220 David Raya,G,220,83,82,81,86,82,57,81
Espagne,Atlético Madrid,#220 Koke,MDC,220,83,69,72,84,79,77,78
Argentine,West Ham,#220 Guido Rodríguez,MDC,220,83,51,58,72,70,85,80
Italie,Latium,#220 Alessio Romagnoli,DC,220,83,64,40,56,69,85,79
Pays-Bas,RB Leipzig,#220 Xavi Simons,MOC,220,83,81,77,80,86,61,71
Brésil,Juventus,#220 Douglas Luiz,MC,220,83,66,78,85,80,75,76
Burkina Faso,Leverkusen,#220 Edmond Tapsoba,DC,220,83,75,54,68,70,85,79
Portugal,Paris SG,#220 Nuno Mendes,DG,220,83,89,58,76,82,78,76
France,Lombardia FC,#220 Marcus Thuram,BU,220,83,87,81,77,82,50,84
Angleterre,Milano FC,#220 Fikayo Tomori,DC,220,83,84,40,60,68,85,80
Angleterre,Newcastle Utd,#220 Kieran Trippier,DD,220,83,67,65,85,78,81,72
Belgique,Arsenal,#220 Leandro Trossard,AG,220,83,82,81,80,85,30,61
Ukraine,Girona FC,#220 Viktor Tsygankov,MD,220,83,85,80,81,82,46,62
Italie,Latium,#220 Mattia Zaccagni,AG,220,83,87,77,75,88,57,66
Colombie,Torino,#220 Duván Zapata,BU,220,83,73,82,64,78,35,88
Espagne,Real Betis,#320 Isco,MOC,320,82,66,74,82,83,59,59
Brésil,Newcastle Utd,#320 Joelinton,MC,320,82,76,72,76,82,81,89
Jamaïque,Aston Villa,#320 Leon Bailey,MD,320,82,90,78,77,86,38,62
Allemagne,TSG Hoffenheim,#320 Oliver Baumann,G,320,82,81,80,78,83,39,79
Nigeria,Leverkusen,#320 Victor Boniface,BU,320,82,73,83,66,80,38,82
Pays-Bas,Newcastle Utd,#320 Sven Botman,DC,320,82,60,37,63,65,83,83
Angleterre,West Ham,#320 Jarrod Bowen,MD,320,82,77,81,76,81,46,70
Équateur,Chelsea,#320 Moisés Caicedo,MDC,320,82,75,63,75,78,79,78
Allemagne,Borussia Dortmund,#320 Emre Can,MDC,320,82,77,78,74,76,82,86
Italie,Bergamo Calcio,#320 Marco Carnesecchi,G,320,82,84,79,71,85,30,83
Brésil,West Ham,#320 Lucas Paquetá,MG,320,82,72,77,79,85,69,79
Argentine,Atlético Madrid,#320 Ángel Correa,BU,320,82,85,84,77,86,50,75
Espagne,Chelsea,#320 Marc Cucurella,DG,320,82,75,60,80,80,78,76
Brésil,Juventus,#320 Danilo,DC,320,82,76,67,74,74,84,77
Portugal,Man Utd,#320 Diogo Dalot,DD,320,82,85,63,77,80,79,79
Espagne,RCD Majorque,#320 Sergi Darder,MC,320,82,79,78,82,83,74,77
Canada,FC Bayern München,#320 Alphonso Davies,DG,320,82,95,66,77,84,72,76
Italie,SSC Napoli,#320 Giovanni Di Lorenzo,DD,320,82,83,67,73,76,79,80
Maroc,Real Madrid,#320 Brahim,MOC,320,82,85,74,78,85,31,56
Pays-Bas,Lombardia FC,#320 Denzel Dumfries,DD,320,82,83,66,73,74,78,88
Argentine,Chelsea,#320 Enzo Fernández,MC,320,82,69,73,82,80,73,77
Brésil,Arsenal,#320 Gabriel Jesus,BU,320,82,83,80,75,88,39,77
Italie,Arsenal,#320 Jorginho,MDC,320,82,46,67,83,80,73,71
Espagne,Aston Villa,#320 Pau Torres,DC,320,82,70,41,77,70,83,79
Allemagne,West Ham,#320 Niclas Füllkrug,BU,320,82,63,84,71,75,43,81
Espagne,Valencia CF,#320 Gayà,DG,320,82,81,61,77,79,78,74
Argentine,Girona FC,#320 Paulo Gazzaniga,G,320,82,82,80,83,81,57,82
Allemagne,SC Freiburg,#320 Matthias Ginter,DC,320,82,54,59,71,66,85,75
Allemagne,FC Bayern München,#320 Serge Gnabry,MD,320,82,80,83,78,84,43,66
Angleterre,Newcastle Utd,#320 Anthony Gordon,AG,320,82,91,78,76,81,49,71
Portugal,FC Bayern München,#320 Raphaël Guerreiro,DG,320,82,63,78,85,88,76,56
Hongrie,RB Leipzig,#320 Péter Gulácsi,G,320,82,82,82,75,81,43,83
Venezuela,Girona FC,#320 Yangel Herrera,MDC,320,82,64,77,76,78,80,81
Allemagne,Leverkusen,#320 Jonas Hofmann,MOC,320,82,73,79,81,81,64,72
Angleterre,Chelsea,#320 Reece James,DD,320,82,78,72,83,82,82,82
France,Aston Villa,#320 Boubacar Kamara,MDC,320,82,66,54,74,75,83,80
France,Paris SG,#320 Randal Kolo Muani,BU,320,82,90,80,71,81,38,67
Ghana,West Ham,#320 Mohammed Kudus,MD,320,82,90,77,73,86,60,75
Suède,Spurs,#320 Dejan Kulusevski,MD,320,82,75,77,80,83,57,80
France,OL,#320 Alexandre Lacazette,BU,320,82,70,84,76,83,44,75
Allemagne,Fulham,#320 Bernd Leno,G,320,82,83,79,76,84,53,82
Slovaquie,SSC Napoli,#320 Stanislav Lobotka,MC,320,82,72,69,80,81,75,75
Nigeria,Bergamo Calcio,#320 Ademola Lookman,BU,320,82,84,81,71,86,31,66
Belgique,SSC Napoli,#320 Romelu Lukaku,BU,320,82,79,82,73,74,38,82
Italie,AS Roma,#320 Gianluca Mancini,DC,320,82,71,45,56,64,83,85
Écosse,Aston Villa,#320 John McGinn,MC,320,82,68,77,80,82,78,85
Argentine,Atlético Madrid,#320 Nahuel Molina,DD,320,82,85,67,75,78,78,71
Brésil,Manchester City,#320 Savinho,AG,320,82,88,72,77,84,30,53
Allemagne,FC Bayern München,#320 Thomas Müller,MOC,320,82,57,82,83,79,55,68
Uruguay,Liverpool,#320 Darwin Núñez,BU,320,82,90,80,72,78,46,86
France,FC Bayern München,#320 Michael Olise,MD,320,82,80,77,82,84,53,56
Espagne,Real Sociedad,#320 Oyarzabal,BU,320,82,77,83,81,82,42,63
Ghana,Arsenal,#320 Thomas Partey,MDC,320,82,62,71,80,77,79,82
Pays-Bas,Milano FC,#320 Tijjani Reijnders,MC,320,82,80,76,80,84,73,74
Espagne,Paris SG,#320 Fabián Ruiz,MC,320,82,54,76,80,80,75,72
France,RC Lens,#320 Brice Samba,G,320,82,79,83,80,84,53,81
Espagne,Athletic Club,#320 Sancet,MOC,320,82,73,77,80,84,70,82
Angleterre,Chelsea,#320 Jadon Sancho,MG,320,82,79,69,78,89,32,50
Suisse,Newcastle Utd,#320 Fabian Schär,DC,320,82,51,68,77,74,84,79
République tchèque,Leverkusen,#320 Patrik Schick,BU,320,82,74,81,71,81,37,76
Angleterre,Man Utd,#320 Luke Shaw,DG,320,82,75,57,82,78,81,78
Norvège,Atlético Madrid,#320 Alexander Sørloth,BU,320,82,79,82,70,76,36,85
Allemagne,Borussia Dortmund,#320 Niklas Süle,DC,320,82,70,51,67,64,83,79
Allemagne,Francfort,#320 Kevin Trapp,G,320,82,82,80,76,84,46,79
Italie,Spurs,#320 Destiny Udogie,DG,320,82,88,65,74,80,78,80
France,FC Bayern München,#320 Dayot Upamecano,DC,320,82,81,45,63,73,81,85
Pays-Bas,Spurs,#320 Micky van de Ven,DC,320,82,88,47,64,71,83,81
France,Côme,#320 Raphaël Varane,DC,320,82,73,49,64,69,83,77
Ghana,Athletic Club,#320 Iñaki Williams,MD,320,82,94,81,72,80,45,84
Mexique,West Ham,#456 Edson Álvarez,MDC,456,81,66,58,69,72,83,87
Espagne,Athletic Club,#456 Yeray,DC,456,81,64,49,70,65,83,76
Allemagne,Borussia Dortmund,#456 Waldemar Anton,DC,456,81,69,46,65,67,81,83
France,West Ham,#456 Alphonse Areola,G,456,81,82,77,74,83,55,80
Espagne,Paris SG,#456 Marco Asensio,AD,456,81,76,79,81,83,43,63
Espagne,FC Barcelona,#456 Balde,DG,456,81,91,48,73,78,75,64
Uruguay,Spurs,#456 Rodrigo Bentancur,MC,456,81,67,68,80,82,79,76
Espagne,Athletic Club,#456 Álex Berenguer,MG,456,81,85,75,75,83,64,68
Italie,AS Roma,#456 Bryan Cristante,MC,456,81,55,74,78,75,78,84
Portugal,Real Betis,#456 Rui Silva,G,456,81,82,76,77,84,31,81
Italie,Lombardia FC,#456 Matteo Darmian,DD,456,81,72,62,75,76,80,75
Canada,LOSC Lille,#456 Jonathan David,BU,456,81,82,81,71,78,34,75
Brésil,Spurs,#456 Richarlison,BU,456,81,77,80,73,80,53,78
Angleterre,Crystal Palace,#456 Eberechi Eze,MOC,456,81,78,81,78,84,49,69
France,Milano FC,#456 Youssouf Fofana,MDC,456,81,69,68,74,77,78,80
Italie,Lombardia FC,#456 Davide Frattesi,MC,456,81,80,74,78,81,71,71
Suisse,Bologne,#456 Remo Freuler,MDC,456,81,60,72,76,77,77,74
Angleterre,Atlético Madrid,#456 Conor Gallagher,MC,456,81,73,75,78,78,77,81
Russie,AS Monaco,#456 Alexandr Golovin,MG,456,81,77,77,80,83,61,68
Allemagne,Borussia Dortmund,#456 Pascal Groß,MDC,456,81,50,77,85,80,73,74
Angleterre,Crystal Palace,#456 Marc Guéhi,DC,456,81,72,39,65,72,82,77
Allemagne,RB Leipzig,#456 Benjamin Henrichs,DD,456,81,74,54,76,78,79,74
Équateur,Leverkusen,#456 Piero Hincapié,DC,456,81,78,40,64,72,81,80
Turquie,Brighton,#456 Ferdi Kadıoğlu,DG,456,81,88,65,75,85,75,76
Japon,Crystal Palace,#456 Daichi Kamada,MOC,456,81,79,73,80,83,54,63
France,Paris SG,#456 Presnel Kimpembe,DC,456,81,74,43,67,69,81,82
Angleterre,Aston Villa,#456 Ezri Konsa,DC,456,81,76,48,71,76,83,78
Côte d'Ivoire,Bergamo Calcio,#456 Odilon Kossounou,DC,456,81,80,32,64,67,82,80
Croatie,TSG Hoffenheim,#456 Andrej Kramarić,BU,456,81,71,83,79,84,33,73
Japon,Real Sociedad,#456 Takefusa Kubo,AD,456,81,84,76,76,83,40,60
Angleterre,Milano FC,#456 Ruben Loftus-Cheek,MC,456,81,81,76,79,82,77,83
Ukraine,Real Madrid,#456 Andriy Lunin,G,456,81,80,78,77,82,37,80
Espagne,FC Barcelona,#456 Iñigo Martínez,DC,456,81,71,56,67,61,81,80
Maroc,Man Utd,#456 Noussair Mazraoui,DD,456,81,78,66,77,83,77,71
Espagne,Real Sociedad,#456 Brais Méndez,MC,456,81,71,80,82,81,65,73
Italie,SSC Napoli,#456 Alex Meret,G,456,81,80,78,72,84,44,83
Pologne,Juventus,#456 Arkadiusz Milik,BU,456,81,56,82,72,77,40,72
Japon,Brighton,#456 Kaoru Mitoma,MG,456,81,84,73,75,85,57,65
Italie,Bologne,#456 Riccardo Orsolini,MD,456,81,79,80,78,83,49,67
Allemagne,Manchester City,#456 Stefan Ortega,G,456,81,79,77,86,84,52,81
Espagne,Rayo Vallecano,#456 Isi Palazón,MD,456,81,84,78,79,81,39,64
Angleterre,Southampton,#456 Aaron Ramsdale,G,456,81,81,79,85,83,48,78
Angleterre,Man Utd,#456 Marcus Rashford,MG,456,81,89,83,76,82,33,64
Allemagne,RB Leipzig,#456 David Raum,DG,456,81,85,61,81,78,73,78
Autriche,RB Leipzig,#456 Xaver Schlager,MDC,456,81,72,70,74,78,75,79
Tunisie,Francfort,#456 Ellyes Skhiri,MDC,456,81,60,73,74,75,80,76
Slovaquie,Paris SG,#456 Milan Škriniar,DC,456,81,57,45,60,65,83,80
Angleterre,Spurs,#456 Dominic Solanke,BU,456,81,75,81,66,78,29,83
Espagne,Getafe CF,#456 David Soria,G,456,81,81,79,73,82,43,80
Angleterre,Arsenal,#456 Raheem Sterling,MG,456,81,85,78,75,85,42,65
Hongrie,Liverpool,#456 Dominik Szoboszlai,MOC,456,81,82,80,84,80,59,70
Belgique,Aston Villa,#456 Youri Tielemans,MC,456,81,44,79,83,79,69,70
Uruguay,Man Utd,#456 Manuel Ugarte,MDC,456,81,69,65,73,77,78,80
Allemagne,VfB Stuttgart,#456 Deniz Undav,BU,456,81,67,82,75,80,33,78
Espagne,UD Las Palmas,#456 Álvaro Valles,G,456,81,80,79,79,83,41,81
Espagne,Real Madrid,#456 Lucas Vázquez,DD,456,81,81,74,80,81,74,69
Espagne,Athletic Club,#456 Vivian,DC,456,81,79,48,57,69,82,81
Angleterre,Newcastle Utd,#456 Callum Wilson,BU,456,81,78,82,67,79,42,75
Espagne,FC Barcelona,#456 Lamine Yamal,AD,456,81,82,75,76,82,23,48
Côte d'Ivoire,OL,#456 Wilfried Zaha,MG,456,81,86,78,73,85,37,75
Pologne,Lombardia FC,#456 Piotr Zieliński,MC,456,81,78,76,80,83,71,62
Espagne,Real Sociedad,#456 Zubimendi,MDC,456,81,64,67,75,77,78,71
Danemark,Fulham,#575 Joachim Andersen,DC,575,80,52,57,72,66,79,84
France,LOSC Lille,#575 Benjamin André,MDC,575,80,61,64,73,75,78,83
Autriche,Lombardia FC,#575 Marko Arnautović,BU,575,80,70,79,78,79,44,78
Allemagne,VfL Wolfsburg,#575 Maximilian Arnold,MDC,575,80,63,79,79,77,76,76
France,Paris SG,#575 Bradley Barcola,AG,575,80,88,74,75,81,34,64
Angleterre,Newcastle Utd,#575 Harvey Barnes,AG,575,80,85,78,75,81,43,68
Autriche,RB Leipzig,#575 Christoph Baumgartner,MOC,575,80,77,74,74,82,47,60
Mali,Spurs,#575 Yves Bissouma,MDC,575,80,71,67,75,81,78,77
Pays-Bas,Girona FC,#575 Daley Blind,DC,575,80,36,62,83,77,83,70
Brésil,Borussia Dortmund,#575 Yan Couto,MD,575,80,85,61,76,81,72,64
Italie,SSC Napoli,#575 Alessandro Buongiorno,DC,575,80,65,45,69,65,82,76
Italie,Milano FC,#575 Davide Calabria,DD,575,80,78,57,70,76,79,71
France,LOSC Lille,#575 Lucas Chevalier,G,575,80,80,79,72,83,45,78
Nigeria,Milano FC,#575 Samuel Chukwueze,AD,575,80,88,74,74,83,36,61
France,OGC Nice,#575 Jonathan Clauss,DD,575,80,88,69,76,78,73,69
Autriche,RC Lens,#575 Kevin Danso,DC,575,80,75,32,57,62,80,85
Brésil,AFC Bournemouth,#575 Evanilson,BU,575,80,76,78,65,78,37,80
Espagne,Athletic Club,#575 De Marcos,DD,575,80,79,64,74,75,77,78
Italie,Juventus,#575 Michele Di Gregorio,G,575,80,82,78,78,82,56,82
Angleterre,FC Bayern München,#575 Eric Dier,DC,575,80,58,63,70,63,81,81
Belgique,Manchester City,#575 Jérémy Doku,AG,575,80,92,72,73,86,30,68
Brésil,Bergamo Calcio,#575 Éderson,MC,575,80,72,68,75,79,77,80
Japon,Liverpool,#575 Wataru Endo,MDC,575,80,60,68,71,78,79,76
Équateur,Brighton,#575 Pervis Estupiñán,DG,575,80,78,57,75,79,77,75
Italie,Lecce,#575 Wladimiro Falcone,G,575,80,83,79,75,84,27,76
Portugal,Chelsea,#575 João Félix,AG,575,80,80,78,77,84,40,67
Espagne,Sevilla FC,#575 Suso,MD,575,80,72,76,80,83,32,51
Argentine,Villarreal CF,#575 Juan Foyth,DD,575,80,71,46,71,72,81,77
